cod_eve,fec_not,semana,año,cod_pre,cod_sub,cod_mun_,num_con,gru_1,gru_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,grupo_10,grupo_11,grupo_12,grupo_13,grupo_14,grupo_15,grupo_16,grupo_17,grupo_18,cas_sos,cas_pro,cas_conl,cas_conc,cas_conn,hombres,mujeres,vivos,muertos,pte_hos,pte_amb,cod_dpto_p,cod_mun_pr,bar_sector,sospe_even,cual_ot_ev,ajuste,fec_aju,version_a,nit_upgd,nom_upgd,ndep_notif,nmun_notif,ndep_proce,nmun_proce,version_b,unnamed:_52,unnamed:_53,suma_fed,suma_fed_<5,archivo_origen,carpeta_evento
998,2025-03-22,12,2025,7344301021,01,73443,1100242431,1,0,0,1,0,3,1,2,0,0,1,2,0,1,0,0,0,1,,,,13,,7,6,13,0,2,11,73,443,SIN INFORMACION,,,0,25/03/2025,,8907060673,HOSPITAL SAN JOSE ESE,TOLIMA,MARIQUITA,TOLIMA,MARIQUITA,,13,1,2,1,BD-998.xlsx,raw
998,2025-03-29,13,2025,7344913600,99,73449,1100243237,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,,,,6,,6,0,6,0,0,6,73,449,2347474,,,0,29/03/2025,,8090033051,CPMSMELGAR,TOLIMA,MELGAR,TOLIMA,MELGAR,,6,0,0,0,BD-998.xlsx,raw
998,2025-03-29,13,2025,7368600301,01,73686,1100243432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,0,1,1,0,0,1,73,686,0,,,0,29/03/2025,,8907015435,HOSPITAL CARLOS TORRENTE LLANO EMPRESA SOCIAL DEL,TOLIMA,SANTA ISABEL,TOLIMA,SANTA ISABEL,,1,0,0,0,BD-998.xlsx,raw
998,2025-03-29,13,2025,7327500431,01,73275,1100243564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,,0,1,1,0,0,1,73,275,9999999,,,0,29/03/2025,,79442653,LIBARDO  VARON YAZO,TOLIMA,FLANDES,TOLIMA,FLANDES,,1,0,1,0,BD-998.xlsx,raw
998,2025-03-29,13,2025,7300102822,03,73001,1100244000,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,4,,2,2,4,0,0,4,73,001,VARSOVIA,,,0,31/03/2025,,8000037651,VIRREY SOLIS IPS SA VARSOVIA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,4,0,0,0,BD-998.xlsx,raw
998,2025-04-26,17,2025,7300100771,01,73001,1100263040,0,2,2,0,2,0,4,0,1,1,1,0,0,0,1,0,0,1,,,,15,,7,8,15,0,0,15,73,001,USIESE,,,0,28/04/2025,,8090035902,UNIDAD DE SALUD DE IBAGUE ESE JORDAN 8 ETAPA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,15,2,2,2,BD-998.xlsx,raw
998,2025-04-26,17,2025,7387300686,01,73873,1100263681,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,,1,0,1,0,0,1,73,873,GUANACAS,,,0,28/04/2025,,890702476,HOSPITAL LA MILAGROSA EMPRESA SOCIAL DEL ESTADO,TOLIMA,VILLARICA,TOLIMA,VILLARICA,,1,0,0,0,BD-998.xlsx,raw
998,2025-02-08,6,2025,7300100080,01,73001,1100216643,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,3,3,6,0,0,6,73,001,9999999,,,0,10/02/2025,,93201158,GABRIEL ANDRES CAYCEDO LOPEZ,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,6,2,0,2,BD-998.xlsx,raw
998,2025-02-08,6,2025,7340800737,01,73408,1100216857,1,2,0,2,1,2,0,2,2,2,3,2,1,2,2,2,1,1,,,,28,,11,17,28,0,3,25,73,408,HOSPITAL REINA SOFIA DE ESPAÑA,,,0,10/02/2025,,8907068235,HOSPITAL REINA SOFIA DE ESPAÑA,TOLIMA,LERIDA,TOLIMA,LERIDA,,28,3,8,3,BD-998.xlsx,raw
998,2025-02-08,6,2025,7300100771,71,73001,1100217377,0,1,0,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,,,,9,,3,6,9,0,0,9,73,001,USIEESE,,,0,10/02/2025,,8090035902,UNIDAD DE SALUD SEDE PICALEÑA ,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,9,1,0,1,BD-998.xlsx,raw
